festival_code,festival_name,sido,sigungu,festival_type,first_year,venue
F0371,2026 마신는 구리 축제,경기,구리시,지역특산물,2023,구리광장(미정)
F0372,구리전통시장 거리축제,경기,구리시,문화예술,2006,구리전통시장
F0373,제20회 구리시 평생학습축제,경기,구리시,문화예술,2006,미정
F0374,제29회 포천 산정호수 명성산 억새꽃축제,경기,포천시,문화예술,1997,산정호수 호수광장
F0375,제2회 포천 한탄강 봄 가든페스타,경기,포천시,자연생태,2024,한탄강 생태경관단지
F0376,제3회 포천 한탄강 가을 가든페스타,경기,포천시,자연생태,2024,한탄강 생태경관단지
F0377,제2회 반려동물 봄 관광축제(펫스타),경기,포천시,문화예술,2025,한탄강 생태경관단지
F0378,제3회 반려동물 가을 관광축제(펫스타),경기,포천시,문화예술,2025,한탄강 생태경관단지
F0379,제22회 포천 백운계곡 동장군 축제,경기,포천시,주민화합,2004,백운계곡 일원
F0380,제14회 포천 한우 축제,경기,포천시,지역특산물,2012,한탄강 생태경관단지
F0381,제16회 양평용문산 산나물축제,경기,양평군,지역특산물,2008,용문산관광지
F0382,제4회 우리밀 축제,경기,양평군,지역특산물,2023,청운면 일원
F0383,제4회 겨울엔 양평,경기,양평군,주민화합,2023,양평군 일원
F0384,2026 지역문화박람회,경기,양평군,문화예술,2023,양강섬 일원
F0385,2026년 청소년 영화제,경기,양평군,문화예술,2023,양평군 일원
F0386,제9회 갈산누리봄축제,경기,양평군,주민화합,2017,양평생활체육공원 일원
F0387,용천3리 벚꽃길 걷기 및 작은음악회,경기,양평군,주민화합,2010,옥천면 용천3리 일원
F0388,제27회 양평단월고로쇠축제,경기,양평군,지역특산물,1999,단월레포츠공원 일원
F0389,2026 양평수박축제,경기,양평군,지역특산물,2025,청운용두시장 일원
F0390,제7회 양평부추축제,경기,양평군,지역특산물,2016,양동역 일원
F0391,제3회 지평전통발효축제,경기,양평군,지역특산물,2023,지평면사무소 앞 광장 및 시장 일원
F0392,제23회 양평산수유한우축제,경기,양평군,지역특산물,2004,개군면 시가지 일원
F0393,제5회 여주선비장터축제,경기,여주시,지역특산물,2018,가남읍 태평리 110-19 일원
F0394,제4회 싸리산 축제,경기,여주시,주민화합,2023,여주시민공원(현암동637-112번지)
F0395,제4회 여주 대심섬 축제,경기,여주시,자연생태,2023,대신섬 일원
F0396,제4회 강천섬 힐링 문화축제,경기,여주시,문화예술,2023,강천섬 일원
F0397,제10회여주흥천남한강벚꽃축제,경기,여주시,자연생태,2017,흥천면 귀백리 168-3번지 일원
F0398,제21회 산북품실축제,경기,여주시,주민화합,2004,산북면체육공원
F0399,제38회 여주도자기축제,경기,여주시,지역특산물,1990,신륵시관광지 일원
F0400,2026 여주오곡나루축제,경기,여주시,전통역사,1998,신륵시관광지 일원
F0401,제2회 북내 삼색별미축제,경기,여주시,주민화합,2025,북내면 당우리 일원
F0402,제20회 금사참외축제,경기,여주시,지역특산물,2007,금사근린공원 일원
F0403,제2회 중앙동 청심문화축제,경기,여주시,문화예술,2025,하동 제일시장 공영주차장
F0404,의왕백운호수축제,경기,의왕시,문화예술,2001,의왕백운호수공원
F0405,제26회 동두천 락 페스티벌,경기,동두천시,문화예술,1999,신천교 하부 특설무대
F0406,제7회 도심재생 야간축제 (2026년 헬로 DDC 페스티벌),경기,동두천시,문화예술,2017,보산동 관광특구
F0407,2026 과천공연예술축제,경기,과천시,문화예술,1997,과천시민광장(시민회관 옆 잔디마당 및 운동장)
F0408,2026 Colorful Garden 자라섬 꽃 페스타(봄),경기,가평군,문화예술,2020,자라섬
F0409,2026 Colorful Garden 자라섬 꽃 페스타(가을),경기,가평군,문화예술,2020,자라섬
F0410,제3회 재즈페스티벌 in 가평,경기,가평군,문화예술,2024,"잣고을 광장, 가평읍 시내, 자라섬 서도 등"
F0411,제23회 자라섬재즈페스티벌,경기,가평군,문화예술,2004,자라섬
F0412,제33회 연천 구석기 축제,경기,연천군,전통역사,1993,연천 전곡리 유적
F0413,2026년 임진강 댑싸리정원 개장,경기,연천군,자연생태,2021,임진강 댑싸리정원
F0414,제5회 연천 당포성 별빛축제,경기,연천군,자연생태,2022,동이리 당포성 일원
F0415,제11회 연천장남 통일바라기 축제,경기,연천군,자연생태,2014,장남면 호로고루 일원
F0416,제8회 연천국화축제,경기,연천군,자연생태,2019,연천 전곡리 유적
F0417,제5회 연천율무축제(농특산물 큰장터),경기,연천군,지역특산물,2016,연천 전곡리 유적
F0418,춘천막국수닭갈비축제,강원,춘천시,지역특산물,2008,공지천 수변 산책로 일원
F0419,춘천호수정원페스타,강원,춘천시,문화예술,2025,춘천시 관내
F0420,온가족 웃음찾기 개그쇼,강원,춘천시,문화예술,2023,"인형극장, 남부 노인복지회관 등"
F0421,춘천연극페스티벌(신규),강원,춘천시,문화예술,2026,"축제극장 몸짓, 춘천인형극장 등"
F0422,제 33회 봄내예술제,강원,춘천시,문화예술,1995,호반광장 외 춘천일대
F0423,제38회 춘천마임축제,강원,춘천시,문화예술,1989,"축제극장몸짓, 레고랜드코리아 주차장 등"
F0424,2026 의병축제,강원,춘천시,전통역사,2019,공지천 의암공원 일대
F0425,춘천연극제,강원,춘천시,문화예술,1993,"봄내극장, 대원당, 농협 엔타 등 춘천 관내 일원"
F0426,춘천아트페어 아르로드 R.OAD,강원,춘천시,문화예술,2024,옥천동 일대
F0427,춘천영화제,강원,춘천시,문화예술,2022,"메가박스 남춘천점, 춘천예술촌"
F0428,2026 공연예술제,강원,춘천시,문화예술,2001,춘천시 일대
F0429,춘천 오페라 페스티벌,강원,춘천시,문화예술,2022,춘천KT&G상상마당 야외공연장
F0430,춘천인형극제,강원,춘천시,문화예술,1989,춘천인형극장(영서로 3017) 및 관내 일원
F0431,2026 온세대합창페스티벌,강원,춘천시,문화예술,2017,KT&G 상상마당 춘천 및 공지천 아외공연장
F0432,이디오피아길 세계축제 및 메스칼 페스티벌,강원,춘천시,문화예술,2026,미정
F0433,2026 제29회 춘천국제고음악제,강원,춘천시,문화예술,1997,춘천시 일대
F0434,춘천커피축제,강원,춘천시,문화예술,2025,공지천 산책로 일대(온의동 586일대)
F0435,지역명품페스타,강원,춘천시,문화예술,2013,봄내극장 등 춘천시 일대
F0436,2026 춘천 반려동물 페스티벌,강원,춘천시,문화예술,2021,서면 애니메이션박물관 일원
F0437,2026년 제5회 강원한우데이,강원,춘천시,지역특산물,2022,시청광장 일대
F0438,2026 대한민국 독서대전,강원,춘천시,문화예술,2026,공지천 유원지 등 춘천시 일원
F0439,제6회 춘천 술 페스타,강원,춘천시,문화예술,2021,KT&G 상상마당 일원
F0440,춘천 애니토이페스티벌,강원,춘천시,문화예술,1997,"서면 애니타운 일원(애니메이션박물관, 토이로봇관)"
F0441,2026 춘천 썸머워터 페스티벌,강원,춘천시,문화예술,2025,삼천동 일원
F0442,춘천 감자페스타,강원,춘천시,지역특산물,2024,신북 샘밭장터 일원
F0443,춘천호수 드론라이트쇼,강원,춘천시,문화예술,2023,춘천 의암호 일원
F0444,서면 호수별빛 페스타,강원,춘천시,문화예술,2026,서면 호수별빛 페스타
F0445,2026 댄싱카니발,강원,원주시,문화예술,2011,원주댄싱공연장 일원
F0446,원주 한지문화제,강원,원주시,문화예술,1999,원주한지테마파크 일원
F0447,용수골꽃양귀비축제,강원,원주시,자연생태,2008,용수골꽃농장
F0448,장미축제,강원,원주시,자연생태,1999,장미공원
F0449,섬강축제,강원,원주시,주민화합,1997,간현유원지 제2주차장 일원
F0450,신월랑달빛축제,강원,원주시,주민화합,2024,행구동 수변공원 일원
F0451,혁신도시 상생마켓,강원,원주시,주민화합,2024,혁신미리내광장 일원
F0452,혁신페스타,강원,원주시,주민화합,2024,혁신미리내광장 일원
F0453,혁신도시 미리내야행,강원,원주시,주민화합,2025,혁신미리내광장 일원
F0454,2026 원주라면축제,강원,원주시,주민화합,2025,댄싱공연장 주차장 상설공연장
F0455,2026 원주만두축제,강원,원주시,지역특산물,2023,중앙동 전통시장 일원
F0456,원주문화의거리 치맥축제,강원,원주시,주민화합,2015,중앙동 문화의 거리 일원
F0457,제12회 치악산한우 축제,강원,원주시,지역특산물,2015,댄싱공연장 일원
F0458,제32회 국제걷기대회,강원,원주시,문화예술,1996,원주시 일원(주행사장: 원주댄싱공연장)
F0459,제25회치악산 복숭아 축제,강원,원주시,지역특산물,2001,원주댄싱공연장
F0460,제5회 치악산 고구마축제,강원,원주시,지역특산물,2022,간현관광지 일원
F0461,제14회 치악산 찰옥수수 축제,강원,원주시,지역특산물,2013,농민문화 회관 일원
F0462,제63회 농업인의 날 삼토 페스티벌,강원,원주시,전통역사,2005,원주종합운동장 일원
F0463,경포 벚꽃 축제,강원,강릉시,자연생태,1993,경포호 및 경포대 일원
F0464,솔올블라썸,강원,강릉시,자연생태,2023,교1동 일원
F0465,남산 벚꽃 축제,강원,강릉시,자연생태,2009,남산공원 일원
F0466,강릉 차문화 축제,강원,강릉시,문화예술,2023,강릉오죽한옥마을
F0467,강릉단오제,강원,강릉시,전통역사,,강릉 남대천 일원
F0468,강릉 비치비어 페스티벌,강원,강릉시,문화예술,2019,경포해변 일원
F0469,강릉 버스킹 전국대회,강원,강릉시,문화예술,2024,경포해변 일원
F0470,경포 썸머 페스티벌,강원,강릉시,문화예술,1997,경포해변 일원
F0471,주문진 해변축제,강원,강릉시,자연생태,2004,주문진해수욕장
F0472,강릉 국가유산야행,강원,강릉시,전통역사,2016,강릉대도호부관아 일원
F0473,강릉 누들 축제,강원,강릉시,지역특산물,2022,월화거리 일원
F0474,제18회 강릉커피축제,강원,강릉시,주민화합,2009,강릉커피거리 일원
F0475,2026 강릉크리스마스 겨울축제,강원,강릉시,주민화합,2021,강릉월화거리 일원
F0476,해맞이 행사,강원,강릉시,주민화합,1998,"경포해변, 정동진 모래시계공원"
F0477,제8회 묵호등대 논골담길 축제,강원,동해시,문화예술,2015,묵호항 수변공원
F0478,제13회 전천축제,강원,동해시,문화예술,2010,전천공원 일원
F0479,제4회 발한 호로롱 페스티벌,강원,동해시,주민화합,2023,동쪽바다중앙시장 일원
F0480,2026년 무릉별유천지 라벤더축제,강원,동해시,자연생태,2023,무릉별유천지
F0481,제2회 아스타축제,강원,동해시,자연생태,2025,무릉별유천지
F0482,제5회 송정막걸리축제,강원,동해시,주민화합,2019,송정동 일원
F0483,동해무릉제,강원,동해시,주민화합,1984,동해웰빙레포츠타운 일원
F0484,도째비페스타,강원,동해시,주민화합,2022,묵호항 여객선터미널 광장 일원
