festival_code,theme_code,theme_tag
F0782,NE01,꽃·식물
F0783,NE01,꽃·식물
F0784,CC01,주민화합·마을
F0785,CC01,주민화합·마을
F0786,CA06,복합문화예술
F0787,CA06,복합문화예술
F0788,CA06,복합문화예술
F0789,CA01,음악·공연
F0790,CC03,스포츠·레저
F0791,NE01,꽃·식물
F0791,NE02,숲·산·걷기
F0792,LS01,농산물·과일
F0793,CA05,문학·책
F0794,CA06,복합문화예술
F0795,CA01,음악·공연
F0796,CA03,빛·미디어아트
F0797,LS01,농산물·과일
F0798,NE05,생태·환경
F0799,NE05,생태·환경
F0800,CC01,주민화합·마을
F0801,NE02,숲·산·걷기
