위도,경도,주차구획수
34.9314249,127.6952967,7
34.9381217,127.6906275,9
34.9440491,127.6851622882,63
34.9466795,127.6867472,85
34.9316607,127.6950608,7
34.9326819,127.699327,23
34.9350974,127.6993475,28
34.9341795,127.693225,82
34.9341504,127.6993502,86
34.95132358,127.6871135,48
34.93323065,127.6906437,26
34.93323065,127.6906437,23
34.93323065,127.6906437,42
34.93323065,127.6906437,32
34.93729185,127.6897408,58
34.9492024,127.6869215,16
34.9725639,127.7585339,36
34.9778252,127.7588575,19
34.97627964,127.7605535,21
34.9868515,127.7466775,22
34.9893321,127.7478672,20
35.0360475,127.7568505,12
35.0188287,127.7186377,8
35.0051895,127.7128352,20
35.09494294,127.6745959,46
35.0184287,127.7193052,17
34.99747045,127.6813725,18
34.97649358,127.7188383,238
34.9771081,127.7166886,30
34.9747782,127.7158822,20
34.9881306,127.7029735,30
34.98831469,127.7012053,10
34.9871797,127.7006106,102
34.9889432,127.7027285,20
34.98762505,127.6991507,10
34.9903495,127.7011304,14
34.9892492,127.7012416,8
35.0437104,127.5925066,18
35.014111,127.6176627,20
35.06728224,127.6197266,46
35.09277522,127.5963341,46
35.10131626,127.5992066,28
35.10138357,127.5984678,21
35.0413133,127.6052305,58
35.0850224,127.567316,7
35.0681514,127.5629568,85
35.07915082,127.5646436,73
35.0813708,127.5672639,50
35.08697827,127.5723794,68
34.9700793,127.5829824,35
34.9744753,127.5797611,21
34.9734589,127.588686,5
34.98211779,127.5888931,27
34.9800882,127.5765261,61
34.978777,127.5754774,55
34.965493,127.5750554,134
34.9693964,127.5843938,16
34.96328094,127.5719865,24
34.9780905,127.5868883,34
34.97767117,127.5892117,42
34.9766785,127.5864229,4
34.964034,127.5709612,27
34.96681722,127.5788045,144
34.9770201,127.5903575,25
34.97367207,127.5902578,92
34.9831536,127.5800505,33
34.96634213,127.5695131,35
34.96946,127.5823969,29
34.97346804,127.5919423,14
34.9440041,127.5769661,4
34.97709121,127.5755526,64
34.95235289,127.5756242,4
34.93678224,127.699133,330
34.9356692,127.6939343,100
34.94004584,127.7002774,163
34.94908982,127.7207184,45
34.9364334,127.6895188,157
34.9505138,127.6893299,68
34.92610151,127.6963813,64
34.94580402,127.6850974,90
34.9460515,127.6957622,13
34.94100443,127.6989892,80
34.9391639,127.6959668,59
34.9341795,127.693225,24
34.9341795,127.693225,71
34.95558642,127.7100414,47
34.9308957,127.698891,34
34.9306046,127.6968807,38
34.9393825,127.7002923,45
34.9498484,127.6887727,68
34.9407045,127.6970852,120
34.9511903527,127.6925699409,245
34.9455838,127.6877534,62
34.9430594,127.687757,65
34.94216286,127.6946738,201
34.93613986,127.6954498,120
34.91011403,127.6605722,16
34.9205931,127.6474294,4
34.9114934,127.6666863,220
34.909441,127.6578569,80
34.93463711,127.6753738,25
34.9339547,127.6782683,16
34.93543438,127.6775655,25
34.9365614,127.6795704,28
34.9369502,127.6776925,39
34.9385095,127.6777475,42
34.93801459,127.6828861,13
35.1566353,127.6529398,30
35.1024413,127.6931629,50
35.089874945,127.7037473,80
35.0812995,127.7143879,42
35.07901584,127.7184493,118
34.81449623,126.4283475,6
34.8106877245,126.4160777356,29
34.8059935402,126.3919445271,124
34.8099611887,126.3767208549,66
35.4291464494,129.1721842451,11
34.79620316,126.4015438,48
34.80051042,126.3719085,19
34.7829611,126.3828592,18
34.78126026,126.3774439,29
34.7984869246,126.4383753625,41
34.79487484,126.4273014,89
34.8136138212,126.4029756984,40
34.7858834863,126.3856122,33
34.76497435,126.3699958,49
34.8000594935,126.3844148232,54
34.79821649,126.4264549,66
34.79335192,126.3821261,100
34.8135593599,126.4181272542,52
34.8055058566,126.4197911748,52
34.8089167319,126.3665832595,163
34.7985165795,126.4377127623,34
34.79561766,126.4320063,47
34.79664454,126.4340905089,47
34.8000112422,126.4344129672,54
34.797137522,126.4283272011,50
34.80054208,126.4296969496,34
34.80071178,126.4301701173,35
34.81146009,126.4203111184,28
34.81114394,126.4201019869,29
34.8074541626,126.4201929913,82
